,title,n_enrolled,course_type,institution,instructors,Level,subject,language,subtitles,course_effort,course_length,price
121,Marketing Analytics: Competitive Analysis and Market Segmentation,70682,Self-paced on your time,"University of California, Berkeley",Stephan Sorger,Intermediate,Computer Science,English,English,5–7 hours per week,4,249.0
122,MalariaX: Defeating Malaria from the Genes to the Globe,37598,Self-paced on your time,Harvard University,Marcia Castro-Flaminia Catteruccia-Michael R. Reich-Marcel Tanner,Intermediate,Biology & Life Sciences,English,"English, Français",3–5 hours per week,8,49.0
123,Entrepreneurship in Emerging Economies,113602,Self-paced on your time,Harvard University,Tarun Khanna,Introductory,Business & Management,English,English,3–5 hours per week,6,125.0
124,JavaScript Introduction,160112,Self-paced on your time,The World Wide Web Consortium (W3C),Michel Buffa,Introductory,Computer Science,English,English,6–8 hours per week,5,199.0
125,People Management,113592,Self-paced on your time,Indian Institute of Management Bangalore,Vasanthi Srinivasan,Introductory,Business & Management,English,"English, हिन्दी",2–4 hours per week,6,150.0
126,Using Email for Networking in English,57208,Self-paced on your time,University of Washington,Daphne Mackey-Richard Moore,Introductory,Language,English,English,3–5 hours per week,4,149.0
127,Databases: Relational Databases and SQL,20502,Self-paced on your time,Stanford University,Jennifer Widom,Introductory,Computer Science,English,English,8–10 hours per week,2,50.0
128,C Programming: Getting Started,104108,Self-paced on your time,Dartmouth_IMTx-Dartmouth College-IMT,Petra Bonfert-Taylor-Rémi Sharrock,Introductory,Computer Science,English,English,2–4 hours per week,7,49.0
129,Supply Chain Analytics,145049,Instructor-led on a course schedule,Massachusetts Institute of Technology,Chris Caplice,Introductory,Business & Management,English,English,8–12 hours per week,15,199.0
130,Programming for the Web with JavaScript,91406,Self-paced on your time,University of Pennsylvania,Chris Murphy-Swapneel Sheth,Intermediate,Computer Science,English,English,6–8 hours per week,4,149.0
131,Introduction to Digital Humanities,37501,Self-paced on your time,Harvard University,Peter K. Bol,Introductory,Humanities,English,English,2–4 hours per week,7,99.0
132,Upper-Intermediate English: Business and Industry,103704,Self-paced on your time,Universitat Politècnica de Valencia,Prof. Ana Gimeno,Intermediate,Language,English,English,3–5 hours per week,4,50.0
133,EmSAT English Preparation - Level 1,29101,Self-paced on your time,United Arab Emirates University,Derek Justin Brown,Introductory,Language,English,English,2–3 hours per week,6,49.0
134,Python for Data Science,266978,Self-paced on your time,"The University of California, San Diego",Ilkay Altintas-Leo Porter,Advanced,Data Analysis & Statistics,English,English,8–10 hours per week,10,350.0
135,Empathy and Emotional Intelligence at Work,45867,Self-paced on your time,"University of California, Berkeley",Dacher Keltner-Emiliana Simon-Thomas,Introductory,Business & Management,English,English,1–2 hours per week,4,199.0
136,Design Thinking and Creativity for Innovation,47549,Self-paced on your time,The University of Queensland,Tim Kastelle,Intermediate,Business & Management,English,English,8–10 hours per week,10,5.0
137,China and Communism,69104,Self-paced on your time,Harvard University,Peter K. Bol-William C. Kirby,Introductory,History,English,"English, 中文",1–3 hours per week,15,139.0
138,Mandarin Chinese Level 1,56040,Self-paced on your time,MandarinX,Estella Chen,Introductory,Language,English,English,4–10 hours per week,6,149.0
139,Introduction to Biology - The Secret of Life,147512,Instructor-led on a course schedule,Massachusetts Institute of Technology,Eric S. Lander-Michelle Mischke-Graham Walker-Brian White,Introductory,Biology & Life Sciences,English,"English, 中文",5–10 hours per week,16,150.0
140,Photoshop: una herramienta para presentaciones innovadoras,22969,Self-paced on your time,Pontificia Universidad Javeriana,Juan Carlos Alonso Rico,Introductory,Art & Culture,Español,Español,8–10 hours per week,5,19.0
141,Causal Diagrams: Draw Your Assumptions Before Your Conclusions,50949,Self-paced on your time,Harvard University,Miguel Hernán,Introductory,Data Analysis & Statistics,English,English,2–3 hours per week,9,99.0
142,生活英语听说 | Conversational English Skills,301585,Self-paced on your time,Tsinghua University,Wenxia Zhang-Fang Yang-Glenn M. Davis-Thomas H. Piachaud,Introductory,Communication,English,English,2–4 hours per week,10,49.0
143,Shakespeare’s Othello: The Moor,31868,Self-paced on your time,Harvard University,Stephen Greenblatt-Bailey Sincox,Introductory,Humanities,English,English,5–7 hours per week,4,49.0
144,Basic Spanish 2: One Step Further,67687,Self-paced on your time,Universitat Politècnica de Valencia,Prof. Ana Gimeno-Virginia González-Cristina Navarro-Begoña García Migura,Introductory,Language,English,"English, Español",4–5 hours per week,4,50.0
145,Financial Market Analysis,37452,Self-paced on your time,The International Monetary Fund,Adolfo Barajas-Evan Tanner-Seung Mo Choi-Fabio Comelli,Intermediate,Economics & Finance,English,English,8–10 hours per week,7,25.0
146,CS50's Computer Science for Business Professionals,73208,Self-paced on your time,Harvard University,David J. Malan,Introductory,Computer Science,English,English,2–6 hours per week,6,90.0
147,Gobierno Digital,18883,Self-paced on your time,Inter-American Development Bank,Lea Giménez-Miguel Porrúa-Benjamin Roseth-Alejandro Pareja,Introductory,Social Sciences,Español,Español,1–2 hours per week,8,25.0
148,Upper-Intermediate English: Business and Globalization,58532,Self-paced on your time,Universitat Politècnica de Valencia,Prof. Ana Gimeno,Intermediate,Language,English,English,3–5 hours per week,4,50.0
149,The Opioid Crisis in America,54805,Self-paced on your time,Harvard University,"Gregory Curfman, MD-Catherine Finn, MSW, LCSW",Introductory,Medicine,English,English,1–2 hours per week,10,99.0
150,Gestión de Proyectos de Desarrollo,306286,Self-paced on your time,Inter-American Development Bank,Ernesto Mondelo-Claudia Baca,Introductory,Business & Management,Español,Español,3–4 hours per week,10,49.0
151,Statistical Learning,27968,Self-paced on your time,Stanford University,Trevor Hastie-Robert Tibshirani,Introductory,Data Analysis & Statistics,English,English,3–5 hours per week,9,50.0
152,Introduction to Social Psychology,79365,Self-paced on your time,The University of Queensland,Blake McKimmie-Roy Baumeister,Introductory,Humanities,English,English,1–2 hours per week,7,99.0
153,Artificial Intelligence (AI),265104,Instructor-led on a course schedule,Columbia University,Ansaf Salleb-Aouissi,Advanced,Computer Science,English,English,8–10 hours per week,12,249.0
154,American Government: Constitutional Foundations,35504,Self-paced on your time,Harvard University,Thomas E. Patterson,Introductory,Social Sciences,English,English,2–4 hours per week,4,49.0
155,Introducción a la inversión bursátil,64261,Self-paced on your time,Universitat Politècnica de Valencia,Francisco Guijarro Martínez-Fernando García García-Javier Oliver Muncharaz,Introductory,Economics & Finance,Español,Español,3–4 hours per week,2,50.0
156,Japanese Books: From Manuscript to Print,17581,Self-paced on your time,Harvard University,Melissa McCormick,Introductory,Art & Culture,English,English,1–2 hours per week,9,100.0
